Data inizio,Data fine,Modulo,aula,test
1/04/2025 14:00:00,1/04/2025 18:00:00,Information Security,116,TEST
2/04/2025 14:00:00,2/04/2025 18:00:00,AWS Cloud,116,
3/04/2025 09:00:00,3/04/2025 13:00:00,Analisi sistema sicurezza aziendale e gestione del rischio,116,TEST
3/04/2025 14:00:00,3/04/2025 18:00:00,Blockchain,116,
4/04/2025 14:00:00,4/04/2025 19:00:00,"Laboratorio di progettazione, gestione e messa in sicurezza dei sistemi informativi",116,
7/04/2025 14:00:00,7/04/2025 19:00:00,Ethical Hacking,116,
8/04/2025 14:00:00,8/04/2025 18:00:00,Security by design nel software ,116,
9/04/2025 14:00:00,9/04/2025 18:00:00,AWS Cloud,116,TEST
10/04/2025 14:00:00,10/04/2025 18:00:00,Blockchain,116,TEST
11/04/2025 14:00:00,11/04/2025 18:00:00,Security by design nel software ,116,
14/04/2025 14:00:00,14/04/2025 19:00:00,Ethical Hacking,116,TEST
15/04/2025 14:00:00,15/04/2025 18:00:00,Security by design nel software ,116,
16/04/2025 14:00:00,16/04/2025 18:00:00,Laboratorio di analisi e gestione degli incidenti informatici,116,
17/04/2025 14:00:00,17/04/2025 18:00:00,Accompagnamento collettivo,116,
18/04/2025 14:00:00,18/04/2025 18:00:00,Security by design nel software ,116,
22/04/2025 14:00:00,22/04/2025 18:00:00,Security by design nel software ,116,
23/04/2025 14:00:00,23/04/2025 18:00:00,Sicurezza e prevenzione in azienda ,116,
24/04/2025 14:00:00,24/04/2025 18:00:00,Security by design nel software ,116,TEST
28/04/2025 14:00:00,28/04/2025 18:00:00,Sicurezza e prevenzione in azienda ,116,TEST
29/04/2025 14:00:00,29/04/2025 18:00:00,Laboratorio di analisi e gestione degli incidenti informatici,116,
30/04/2025 14:00:00,30/04/2025 18:00:00,Laboratorio di analisi e gestione degli incidenti informatici,116,TEST
