Data inizio,Data fine,Modulo,aula,test
11/03/2025 14:00:00,11/03/2025 18:00:00,Information Security,116,
12/03/2025 09:00:00,12/03/2025 13:00:00,Analisi sistema sicurezza aziendale e gestione del rischio,219,
12/03/2025 14:00:00,12/03/2025 18:00:00,AWS Cloud,116,
13/03/2025 09:00:00,13/03/2025 09:00:00,Analisi forense dei sistemi informatici e protezione dei dati personali,219,
13/03/2025 14:00:00,13/03/2025 18:00:00,Blockchain,116,
14/03/2025 14:00:00,14/03/2025 19:00:00,"Laboratorio di progettazione, gestione e messa in sicurezza dei sistemi informativi",116,
17/03/2025 14:00:00,17/03/2025 19:00:00,Ethical Hacking,116,
18/03/2025 09:00:00,18/03/2025 13:00:00,Analisi forense dei sistemi informatici e protezione dei dati personali,219,
18/03/2025 14:00:00,18/03/2025 18:00:00,Information Security,116,
19/03/2025 14:00:00,19/03/2025 18:00:00,AWS Cloud,116,
20/03/2025 14:00:00,20/03/2025 18:00:00,Blockchain,116,
21/03/2025 14:00:00,21/03/2025 19:00:00,"Laboratorio di progettazione, gestione e messa in sicurezza dei sistemi informativi",116,
24/03/2025 14:00:00,24/03/2025 19:00:00,Ethical Hacking,116,
25/03/2025 14:00:00,25/03/2025 18:00:00,Information Security,116,
26/03/2025 14:00:00,26/03/2025 18:00:00,AWS Cloud,116,
27/03/2025 14:00:00,27/03/2025 18:00:00,Blockchain,116,
28/03/2025 14:00:00,28/03/2025 18:00:00,Security by design nel software,116,
31/03/2025 14:00:00,31/03/2025 19:00:00,Ethical Hacking,116,
